spid	artist	album	song	taglist
46pttg2YWTYZFvfBTKFpeW	Barenaked Ladies	Grinning Streak	Did I Say That Out Loud?	spotify:2013
5kLrkKxkAPRwSVbLA08DZv	Barenaked Ladies	Grinning Streak	Smile	spotify:2013
3KuOAPmWy1sJN4VIVXiPun	Forever The Sickest Kids	The Weekend: Friday	She Likes (Bittersweet Love)	spotify:2013
6XyM6lfK4OrFT9ax9FabVD	Forever The Sickest Kids	The Weekend: Friday	Hip Hop Chick	spotify:2013
71o4RblgefcGHIf1MbvJzZ	Forever The Sickest Kids	The Weekend: Friday	What Do You Want From Me	spotify:2013
38A0qlAEbx9kP2StogKH00	Vanessa Carlton	Best Of	Ordinary Day	spotify:2013
5tJxxyo3S8jccHJMJbv0Ud	Vanessa Carlton	Best Of	Nolita Fairytale	spotify:2013
7r5c2FdGqsvog0rRC8pUIA	Vanessa Carlton	Best Of	Who's To Say	spotify:2013
1nRu00JSzs5aoUtcwnhuSp	Vanessa Carlton	White Houses	White Houses	spotify:2013
5eQoNnXQJKsLt1KkEb0abO	KT Tunstall	Black Horse And The Cherry Tree	Black Horse and the Cherry Tree - Radio Version	spotify:2013
5p9XWUdvbUzmPCukOmwoU3	KT Tunstall	Eye To The Telescope	Suddenly I See	spotify:2013
4XLiTBHWvssdXMgGtWhApF	Rob Thomas	cradlesong	Snowblind	spotify:2013
4uernaqrGGvb2ncMd4wibP	Sara Bareilles	Brave	Brave	spotify:2013
33RJ3P6wc0B0FIyDalhNTv	Demi Lovato	Here We Go Again	Here We Go Again	spotify:2013
49B2Pw1VdwHTVlNZtk2Joa	Demi Lovato	Here We Go Again	Got Dynamite	spotify:2013
7rNfwWQml6dTUs0S804QL6	Demi Lovato	Here We Go Again	Stop The World	spotify:2013
3sP3c86WFjOzHHnbhhZcLA	Demi Lovato	Unbroken	Give Your Heart A Break	spotify:2013
1cjbrEcQInhPQ55cAklXvr	Demi Lovato	Unbroken	In Real Life	spotify:2013
3LtwmK1OfN0dGs9jf3qSjn	Rob Thomas	cradlesong	Her Diamonds	spotify:2013
4iLY8SCRIEkja4IkOriMYj	Rob Thomas	cradlesong	Give Me The Meltdown	spotify:2013
2uYlrIktpG24M48IqSatys	Rob Thomas	cradlesong	Real World '09	spotify:2013
2hRX6dzcMKghYUKOmXFl9j	Rob Thomas	Something To Be (Deluxe)	This Is How A Heart Breaks	spotify:2013
1sYkQBfDGIoBkX6JaR0rRQ	Rob Thomas	Something To Be (Deluxe)	Lonely No More	spotify:2013
7IHYn0w0U8V0sahh5yzLtd	Rob Thomas	Something To Be (Deluxe)	Ever The Same	spotify:2013
3rQLx85cEIIrplroK6Tu6E	Rob Thomas	Something To Be (Deluxe)	Problem Girl	spotify:2013
4kzkpiqsEOtbNWMZTETlFO	Rob Thomas	Something To Be (Deluxe)	Streetcorner Symphony	spotify:2013
5YCU5M5SvOwpQV17cjkx5P	Marianas Trench	Fix Me	Decided To Break It	spotify:2013
6npRqTLBeOAxv0ZlJReVW6	Marianas Trench	Fix Me	Vertigo	spotify:2013
2W4KdmJONuSH9aJKreuajc	Rob Thomas, Jay Stanley, John Goff, Brian Yale & Paul Doucette	The Best of Tabitha's Secret Vol. # 1	Unkind	spotify:2013
7pByaReeHOMPmCscqbIFck	Rob Thomas, Jay Stanley, John Goff, Brian Yale & Paul Doucette	The Best of Tabitha's Secret Vol. # 1	Tired	spotify:2013
6Bnc5gbvTCRO3AQlLDrmZC	Rob Thomas, Jay Stanley, John Goff, Brian Yale & Paul Doucette	The Best of Tabitha's Secret Vol. # 1	Million Miles	spotify:2013
1VVBwgHSfaVeFUswYuApIF	Rob Thomas, Jay Stanley, John Goff, Brian Yale & Paul Doucette	The Best of Tabitha's Secret Vol. # 1	High	spotify:2013
1VW6u4y8qpODSmdi12ANN7	Rob Thomas, Jay Stanley, John Goff, Brian Yale & Paul Doucette	The Best of Tabitha's Secret Vol. # 1	Forever December	spotify:2013
7CKLZEwboCy2juXMLsAHFt	Forever The Sickest Kids	Underdog Alma Mater	Whoa Oh! (Me vs Everyone)	spotify:2013
0ubNQ9vpRGvXMy4BFGsa0H	Forever The Sickest Kids	Underdog Alma Mater	My Worst Nightmare	spotify:2013
7rXOUa2yrj80b49sYqV6Qy	Forever The Sickest Kids	Underdog Alma Mater	She's A Lady	spotify:2013
4WdopfTdSd0nCLropjhsgH	Panic! At The Disco	A Fever You Can't Sweat Out	The Only Difference Between Martyrdom and Suicide is Press Coverage	spotify:2013
2hgkutEHVmJRg7drAJAFHi	Panic! At The Disco	A Fever You Can't Sweat Out	Camisado	spotify:2013
