custid|custname|city|country|territory|type|status|parentid|pname
10030062|Yen Tjing Ling Industrial Research Institute|missing|TW|AWR-TSMC|Enterprise|No Service/Support|10030062|Yen Tjing Ling Industrial Research Institute
10030065|Peter Dinnerstein Consulting|CA|US|AWR-SW|Enterprise|Ex-Customer|10030065|Peter Dinnerstein Consulting
10030069|Intel - Hillsboro (dec-11)|OR|US|AWR-NW|Regional Office|Off Maintenance|6251|Intel Corporation
10030073|Wavestream Corporation|CA|US|AWR-SW|Enterprise|On Maintenance|10030073|Wavestream Corporation
10030075|National Radio Astronomy Observatory (NRAO) - Green Bank Telescope|WV|US|AWR-SE|Regional Office|On Maintenance|3240|National Radio Astronomy Observatory (NRAO)
10030082|Pacific Broadband Communications|CA|US|AWR-NW|Regional Office|Ex-Customer|3684|Juniper Networks
10030085|Rockwell Collins - Communications Solutions|MD|US|AWR-SE|Site|On Maintenance|4862|Rockwell Collins
10031|Shibaura Institute Technology - Toyosu Campus|Tokyo|JP|NI-JP|NI Academic|On Maintenance|10031|Shibaura Institute Technology
10033|Wireless Communication Systems|TX|US|AWR-CE|Enterprise|Consultant|10033|Wireless Communication Systems
10034|Beam Wave Research, Inc. - NRL Onsite|DC|US|AWR-SE|Site|On Maintenance|461|Naval Research Laboratory (NRL)
10036|Hittite Microwave Corporation - Allen, TX|TX|US|AWR-CE|Site|On Maintenance|3634|Hittite Microwave Corporation
10037|Qualcomm CDMA Technologies Taiwan|Taipei|TW|AWR-TSMC|Regional Office|Off Maintenance|3808|Qualcomm Technologies, Inc.
10038|Amplifier Technology|Bristol|GB|AWR-UK|Regional Office|On Maintenance|10321|Vislink plc
10039|DRS Technologies, C3 & Aviation Company|PA|US|AWR-NE|Regional Office|Payment Due|9081|Finmeccanica
10040|Brian Kearns Consulting|FL|US|AWR-SE|Enterprise|On Maintenance|10040|Brian Kearns Consulting
10040009|Nanowave Technologies - Canada (feb-11)|ON|CA|AWR-NE|Enterprise|Off Maintenance|10040009|Nanowave Technologies
10040010|Nanowave - LA|CA|US|AWR-SW|Regional Office|Ex-Customer|10040009|Nanowave Technologies
10040016|Spectrapoint Wireless|missing|US|AWR-SE|Regional Office|Out of Business|433|Motorola
10040023|Anritsu Corporation - 1st Product Development Department, 1st Product Development Division, R&D Group|Kanagawa|JP|AWR-JP|Enterprise|Off Maintenance|10040023|Anritsu Corporation
10040036|Sony Semiconductor (feb-09)|CA|US|AWR-SW|Regional Office|Off Maintenance|0|Sony Corporation
10040048|Filtronic - Parent|West Yorkshire|GB|AWR-UK|Enterprise|Ex-Customer|10040048|Filtronic
10040053|Mid Sweden University|missing|SE|AWR-NI|University|Ex-Customer|10040053|Mid Sweden University
10040055|Lockheed Martin Corporation - Dallas|TX|US|AWR-CE|Regional Office|Ex-Customer|10010004|Lockheed Martin Corporation
10040059|Hamilton Engineering|TX|US|AWR-CE|Enterprise|Ex-Customer|10040059|Hamilton Engineering
10040063|Thales Elancourt - Trappes (apr-02)|Trappes|FR|AWR-FR|Regional Office|Off Maintenance|914|Thales
10040064|Thales Elancourt - Mouchotte (jun-04)|Trappes|FR|AWR-FR|Regional Office|Off Maintenance|914|Thales
10040065|Thales - Brest (may-03)|Trappes|FR|AWR-FR|Regional Office|Off Maintenance|914|Thales
10040076|Multilink Technology|CA|US|AWR-SW|Enterprise|Out of Business|10040076|Multilink Technology
10040077|Ultraview Corporation (mar-12)|CA|US|AWR-NW|Enterprise|Off Maintenance|10040077|Ultraview Corporation (mar-12)
10040080|Kojima Press Industry Co., Ltd - Research and Development Department ELECTRONIC ENGINEERRING DIV.|Aichi|JP|AWR-JP|Enterprise|On Maintenance|10040080|Kojima Press Industry Co., Ltd
10040082|NEC Corporation - Kansai Device Research Laboratories (mar-10)|Shiga|JP|AWR-JP|Regional Office|Off Maintenance|9024|NEC
10041|Silanna|NSW|AU|AWR-AU|Enterprise|On Maintenance|10041|Silanna
10042|Northrop Grumman - Information Systems - Annapolis (feb-11)|MD|US|AWR-SE|Regional Office|Off Maintenance|1015|Northrop Grumman Systems Corporation
10043|Aava Mobile Oy|Oulu|FI|AWR-APL|Enterprise|On Maintenance|10043|Aava Mobile Oy
10044|Fujitsu Media Devices Singapore Pte Ltd|missing|SG|RSE|Regional Office|Ex-Customer|10040049|Fujitsu
10045|Camargo Consulting|CA|US|AWR-NW|Enterprise|Ex-Customer|10045|Camargo Consulting
10046|Indian Institute of Space Science & Technology - Department of Avionics|Thiruvananthapuram|IN|AWR-NI|University|Off Maintenance|10046|Indian Institute of Space Science & Technology
10047|GreenWave Scientific (aug-14)|NC|US|AWR-SE|Enterprise|Off Maintenance|10047|GreenWave Scientific (aug-14)
10048|University of Sheffield - Department of Electrical and Electronics Engineering|South Yorkshire|GB|AWR-NI|University|On Maintenance|10048|University of Sheffield
10049|Mentor Radio|OH|US|AWR-NE|Enterprise|Off Maintenance|10049|Mentor Radio
10050|Mermere Engineering|Leeds|GB|AWR-UK|Enterprise|Partner|10050|Mermere Engineering
10051|Transim Technology Corporation|OR|US|AWR-NW|Enterprise|Partner|10051|Transim Technology Corporation
10052|Rohde & Schwarz Korea Ltd.|Seoul|KR|RSR|Rep|On Maintenance|10052|Rohde & Schwarz Korea Ltd.
10053|FGUP NII Ekran|Samara|RU|ETR|Enterprise|Off Maintenance|10053|FGUP NII Ekran
10054|Polyteda Software Corporation - CA|ON|CA|AWR-NE|Enterprise|Partner|10054|Polyteda Software Corporation
10055|Texas Tech University - Department of Electrical and Computer Engineering|TX|US|Default Value|University|On Maintenance|10055|Texas Tech University
10055|Texas Tech University - Department of Electrical and Computer Engineering|TX|US|AWR|University|On Maintenance|10055|Texas Tech University
10059|Furukawa Electric Co., Ltd. - Yokohama R&D Laboratory (sep-10)|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|10063|Furukawa Electric Co., Ltd.
10060|Prism Microwave Oy - Espoo|Espoo|FI|AWR-APL|Regional Office|On Maintenance|10769|Prism Microwave
10060004|ITT MEC (dec-01)|VA|US|AWR-SE|Regional Office|Off Maintenance|9198|ITT Exelis
10060009|EMC Technology/Florida RF Labs|FL|US|AWR-SE|Regional Office|On Maintenance|10060048|Smiths Group Plc
10060011|Latus Lightworks, Inc.|TX|US|AWR-CE|Enterprise|Out of Business|10060011|Latus Lightworks, Inc.
10060013|Newtec Cy N.V.|Sint-Niklaas|BE|AWR-BNL|Enterprise|Off Maintenance|10060013|Newtec Cy N.V.
10060015|AMPSA (PTY) LTD|Pretoria|ZA|AWR-NW|Enterprise|Partner|10060015|AMPSA (PTY) LTD
